criterion_id,trial_id,trial_title,criterion_type,criterion_text
CRIT_040,NCT00997100,Exploratory Study of Changes in Disease Activity and Biomarkers With ABR-215757 in Patients With Mild Active Systemic Lupus Erythematosus (SLE),exclusion,"Oral treatment with corticosteroids (>15 mg/day prednisolone or equivalent) or changes in corticosteroid dosing within 30 days prior to the first dose of study medication. This also includes intraarticular steroid injections or topical treatment for SLE symptoms. Inhaled or topical steroids may be given for reasons other than SLE disease activity (such as asthma, contact dermatitis) as clinically indicated."
CRIT_041,NCT00282269,Hypothermia in Traumatic Brain Injury in Children (HiTBIC),inclusion,are aged between 1 and 16 years
CRIT_042,NCT00282269,Hypothermia in Traumatic Brain Injury in Children (HiTBIC),exclusion,are not randomized by 6 hours after injury
CRIT_043,NCT00282269,Hypothermia in Traumatic Brain Injury in Children (HiTBIC),inclusion,"have a severe traumatic brain injury as defined by either a GCS ≤ 8 and an abnormal CT scan (intracranial hemorrhage, cerebral edema or diffuse axonal injury) or a motor score ≤ 3 and normal CT scan"
CRIT_044,NCT02378311,Handlebar Grip Related Injury Prevention (GRIP) Study: Are Exposed Metal Handlebar Ends a Risk Factor for Injury?,exclusion,"If an eligible patient is dead on arrival the family will not be invited to participate, and they will not subsequently be contacted"
CRIT_045,NCT00373048,Mefloquine Prophylaxis in HIV-1 Individuals: a Randomized Placebo-controlled Trial,inclusion,Signed informed consent
CRIT_046,NCT00373048,Mefloquine Prophylaxis in HIV-1 Individuals: a Randomized Placebo-controlled Trial,inclusion,Permanent residents of the Luanshya district
CRIT_047,NCT00373048,Mefloquine Prophylaxis in HIV-1 Individuals: a Randomized Placebo-controlled Trial,exclusion,Intent to move out of the study catchment area during the study period
CRIT_048,NCT00373048,Mefloquine Prophylaxis in HIV-1 Individuals: a Randomized Placebo-controlled Trial,inclusion,Males and non pregnant adults between 18 and 50 years old.
CRIT_049,NCT01978834,Age Dependend Diagnostic Thresholds for Osteoporosis Bindex Ultrasonometer,inclusion,Female sex
CRIT_050,NCT00703417,Does Bone Structure Explain the Increased Fracture Risk in Type II Diabetes Patients? A Pilot Study,inclusion,"History of Type II diabetes, as defined by the American Diabetes Association for more than 5 years that is either insulin requiring or treated with oral therapies such as sulfonylureas and metformin"
CRIT_051,NCT00703417,Does Bone Structure Explain the Increased Fracture Risk in Type II Diabetes Patients? A Pilot Study,inclusion,"Postmenopausal female, 55-75 years old"
CRIT_052,NCT01978834,Age Dependend Diagnostic Thresholds for Osteoporosis Bindex Ultrasonometer,exclusion,Those who have opted out of being contacted for research on their general Park Nicollet clinic consent will not be recruited by mail
CRIT_053,NCT02273232,Effects of Remote Ischemic Preconditioning on Moderate PVD Patients A Pilot Randomized Control Trial,exclusion,Known upper limb PVD
CRIT_054,NCT02273232,Effects of Remote Ischemic Preconditioning on Moderate PVD Patients A Pilot Randomized Control Trial,inclusion,Known moderate PVD
CRIT_055,NCT02273232,Effects of Remote Ischemic Preconditioning on Moderate PVD Patients A Pilot Randomized Control Trial,inclusion,New claudication patient with Rutherford stage 2 and Fontaine stage 2a symptoms
CRIT_056,NCT02273232,Effects of Remote Ischemic Preconditioning on Moderate PVD Patients A Pilot Randomized Control Trial,exclusion,Pregnancy
CRIT_057,NCT02512159,Skin Ulcers Treatment With an Handicraft Topical Device,inclusion,Patients of both sexes.
CRIT_058,NCT02512159,Skin Ulcers Treatment With an Handicraft Topical Device,inclusion,"Patients with cutaneous leg ulcers due to diabetes mellitus, venous stasis and arterial insufficiency requiring healing or tissue debrided sent to managing their disease to regional general hospital No. 17, Instituto Mexicano del Seguro Social, Benito Juárez, Quintana Roo."
CRIT_059,NCT00015626,A Clinical Trial to Prevent the Complications of Insulin Resistance (Including Type-2 Diabetes),exclusion,History of poor compliance with physician's recommendations
CRIT_060,NCT02512159,Skin Ulcers Treatment With an Handicraft Topical Device,inclusion,Patients that have basic laboratory at admission (complete blood count with differential).
CRIT_061,NCT00845988,Metabolic Effects of Switching to Aripiprazole in Patients With Bipolar Disorders,inclusion,"patients with bipolar disorders (I, II, NOS) diagnosed with DSM-IV criteria"
CRIT_062,NCT00845988,Metabolic Effects of Switching to Aripiprazole in Patients With Bipolar Disorders,inclusion,in a syndromal remission state at least for 2 months : CGI - BP ≤ 3
CRIT_063,NCT01863628,Recognition and Early Intervention on Prodrome in Bipolar Disorders,exclusion,DSM-IV defined Axis I disorders
CRIT_064,NCT00845988,Metabolic Effects of Switching to Aripiprazole in Patients With Bipolar Disorders,inclusion,patients who have exhibited a clinically significant increase in body weight after starting the administration of their current antipsychotic (ie >7% weight gain)
CRIT_065,NCT01519271,Mild Cognitive Impairment in Parkinson's Disease,exclusion,Active suicide ideation.
CRIT_066,NCT01519271,Mild Cognitive Impairment in Parkinson's Disease,inclusion,Participants must be on a sable medication regimen for 2 months prior to starting the study (necessary dose adjustments during the study are acceptable).
CRIT_067,NCT01519271,Mild Cognitive Impairment in Parkinson's Disease,inclusion,Participants must be experiencing symptoms of mild cognitive impairment; this will be determined by study personnel.
CRIT_068,NCT01628315,Assessment of Lesion Activity Analysis in the Avonex- Steroid Azathioprine (ASA) Study,exclusion,MRI images unable to be processed
CRIT_069,NCT01142245,Effect of IV and Oral Esomeprazole in Prevention of Recurrent Bleeding From Peptic Ulcers After Endoscopic Therapy,inclusion,Age ≥ 18
CRIT_070,NCT01142245,Effect of IV and Oral Esomeprazole in Prevention of Recurrent Bleeding From Peptic Ulcers After Endoscopic Therapy,inclusion,"Confirmed ulcer bleeding with Forrest Ia, Ib, IIa, IIb"
CRIT_071,NCT01142245,Effect of IV and Oral Esomeprazole in Prevention of Recurrent Bleeding From Peptic Ulcers After Endoscopic Therapy,inclusion,Endoscopic hemostasis achieved
CRIT_072,NCT00843063,Famotidine Compared With Pantoprazole to Prevent Recurrent Aspirin-Induced Peptic Ulcer/Erosion,exclusion,"pregnancy, lactation, child-bearing potential in the absence of contraception"
CRIT_073,NCT02340533,Histopathological Diagnosis of Adenomyosis,inclusion,"females complaining of pelvic congestion: dysmenorrhea, dyspareunia, chronic pelvic pain, menorrhagia, metrorrhagia"
CRIT_074,NCT01377519,Magnetic Resonance Guided Focused Ultrasound for Uterine Fibroids,inclusion,Symptomatic fibroids
CRIT_075,NCT01377519,Magnetic Resonance Guided Focused Ultrasound for Uterine Fibroids,inclusion,Fibroids accessible for focused ultrasound treatment
CRIT_076,NCT01377519,Magnetic Resonance Guided Focused Ultrasound for Uterine Fibroids,exclusion,Desires future fertility
CRIT_077,NCT01255670,Penicillin and Metronidazole in Treatment of Peritonsillar Abscess,inclusion,patient is voluntary
CRIT_078,NCT01255670,Penicillin and Metronidazole in Treatment of Peritonsillar Abscess,inclusion,referring doctor suspects peritonsillar abscess
CRIT_079,NCT01255670,Penicillin and Metronidazole in Treatment of Peritonsillar Abscess,inclusion,patient has daily access to his/her e-mail
CRIT_080,NCT01255670,Penicillin and Metronidazole in Treatment of Peritonsillar Abscess,inclusion,female patients have adequate birth-control method
CRIT_081,NCT01308112,Prenatal Iron and Malaria Study,inclusion,"Pregnant, with gestational age <23 weeks"
CRIT_082,NCT01308112,Prenatal Iron and Malaria Study,inclusion,Women aged 15-45 years resident in the predefined study area
CRIT_083,NCT01308112,Prenatal Iron and Malaria Study,exclusion,Woman planning to leave the homestead or to be absent for prolonged periods in the course of the pregnancy or within a 1-month period thereafter
CRIT_084,NCT01308112,Prenatal Iron and Malaria Study,exclusion,Failure to provide a blood sample
CRIT_085,NCT00930826,Childhood Asthma and Schooling: The Truth Unveiled,exclusion,Steroid inhalation or ingestion
CRIT_086,NCT00930826,Childhood Asthma and Schooling: The Truth Unveiled,inclusion,Clinical diagnosis of bronchial asthma
CRIT_087,NCT00839124,"A Study of Inhalation of 20,000 EU CCRE in Normal Volunteers Compared to Allergic Asthmatic Individuals",inclusion,"History of episodic wheezing, chest tightness, or shortness of breath after age of 6 years consistent with asthma, or physician diagnosed asthma after age of 6 years."
CRIT_088,NCT00839124,"A Study of Inhalation of 20,000 EU CCRE in Normal Volunteers Compared to Allergic Asthmatic Individuals",inclusion,--Negative pregnancy test for females
CRIT_089,NCT02532452,Third Party Viral Specific T-cells (VSTs),inclusion,Immunocompromised patient with evidence of viral infection or reactivation
CRIT_090,NCT02532452,Third Party Viral Specific T-cells (VSTs),inclusion,Clinical status must allow tapering of steroids to < 0.5mg/kg prednisone or other steroid equivalent
CRIT_091,NCT00034437,Immune Response to Cytomegalovirus,exclusion,Diagnosis or suspicion of immunodeficiency state
CRIT_092,NCT02532452,Third Party Viral Specific T-cells (VSTs),inclusion,Recipients who have had a stem cell transplant must be at least 21 days after stem cell infusion
CRIT_093,NCT00182832,e-CHAMP: Enhancing Care for Hospitalized Older Adults With Memory Problems,inclusion,65 years of age or older
CRIT_094,NCT00182832,e-CHAMP: Enhancing Care for Hospitalized Older Adults With Memory Problems,inclusion,Hospitalized in a medical ward
CRIT_095,NCT00182832,e-CHAMP: Enhancing Care for Hospitalized Older Adults With Memory Problems,inclusion,Able to speak English
CRIT_096,NCT00182832,e-CHAMP: Enhancing Care for Hospitalized Older Adults With Memory Problems,exclusion,Previously enrolled in the study during prior hospitalization (for multiple admissions; only data from the first admission will be used)
CRIT_097,NCT02105714,Diagnosis of Neglected Tropical Diseases Among Patients With Persistent Digestive Disorders,inclusion,Individuals with written informed consent provided.
CRIT_098,NCT02105714,Diagnosis of Neglected Tropical Diseases Among Patients With Persistent Digestive Disorders,inclusion,"Individuals aged ≥1 year presenting with persistent diarrhoea (≥3 loose stools per days for ≥2 weeks; symptomatic group) and/or children (aged 1-18 years) with persistent abdominal pain (localized or diffuse abdominal pain lasting for ≥2 weeks, with possible intermittence/recurrence)."
CRIT_099,NCT01959048,Efficacy and Safety of Fecal Microbiota Transplantation for Severe Clostridium Difficile Associated Colitis,inclusion,Confirmed diagnosis of severe CDAD as defined above
CRIT_100,NCT01959048,Efficacy and Safety of Fecal Microbiota Transplantation for Severe Clostridium Difficile Associated Colitis,exclusion,Pregnant or lactating women
CRIT_101,NCT02534727,Sputum Pharmacokinetics of TB Drugs and Bacterial Drug Resistance,inclusion,At least 18 years of age
CRIT_102,NCT02534727,Sputum Pharmacokinetics of TB Drugs and Bacterial Drug Resistance,inclusion,Suspected drug resistance (drug susceptible allowed at the NIH CC)
CRIT_103,NCT02534727,Sputum Pharmacokinetics of TB Drugs and Bacterial Drug Resistance,inclusion,Taking anti-tuberculosis medicines (or NTM meds at NIH CC) during the time sputa are provided
CRIT_104,NCT01207128,Trial of Combination Antifungal Therapy (Vori+Mica vs. Vori+Placebo) in Invasive Aspergillosis,exclusion,"The patient is pregnant or lactating. If the patient is female and of childbearing potential, the patient must have a negative pregnancy test and avoid becoming pregnant while receiving study drug. A pregnancy test should be performed within 14 days prior to the first dose of study drug."
CRIT_105,NCT00084240,"Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia",exclusion,"History of allergy to or hypersensitivity to azithromycin or any macrolide, sulfonamides, pyrimethamine, or chloroquine"
CRIT_106,NCT00084240,"Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia",inclusion,"Females and males >=18 years of age with uncomplicated, symptomatic malaria as indicated by the presence of both of the following: a.) Blood smears positive for Plasmodium falciparum asexual parasitemia between 1000 -100,000 parasites/mL b.) Fever or history of fever (>= 38.5 C/101.2 F rectal or tympanic; >= 37.5 C/99.5 F axillary or >= 38 C/100.4 F oral) within the prior 24 hours"
CRIT_107,NCT02334514,The Effect of Oseltamivir Treatment on the Yield of Polymerase Chain Reaction Test for Confirmed Influenza Infection,inclusion,"clinical presentation that suggest influenza virus infection, including sudden onset of high fever, cough, headache, muscle and joint pain, severe malaise, sore throat and runny nose"
CRIT_108,NCT00084240,"Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia",inclusion,Women of childbearing potential must have a negative urine gonadotropin prior to entry into the study and must agree to use adequate contraception during the entire study
CRIT_109,NCT00711399,Assessment of Cough and Wheeze With Breath Sound Documenting Device,inclusion,Patient and/or parents/guardian signed informed consent
CRIT_110,NCT00711399,Assessment of Cough and Wheeze With Breath Sound Documenting Device,exclusion,Respiratory distress
CRIT_111,NCT00540072,Study of Cidecin™ (Daptomycin) to Rocephin® (Ceftriaxone) in the Treatment of Moderate to Severe Community-Acquired Acute Bacterial Pneumonia Due to S. Pneumoniae,inclusion,Have a new pulmonary infiltrate on chest radiograph.
CRIT_112,NCT00711399,Assessment of Cough and Wheeze With Breath Sound Documenting Device,exclusion,Pregnant women
CRIT_113,NCT01326507,Prognostic Value of Heart-type Fatty Acid-Binding Protein (h-FABP) in Acute Pulmonary Embolism,exclusion,refusal to sign the consent
CRIT_114,NCT01326507,Prognostic Value of Heart-type Fatty Acid-Binding Protein (h-FABP) in Acute Pulmonary Embolism,inclusion,patients with acute pulmonary embolism diagnosed in the emergency departement
CRIT_115,NCT01326507,Prognostic Value of Heart-type Fatty Acid-Binding Protein (h-FABP) in Acute Pulmonary Embolism,exclusion,patient without social insurance
CRIT_116,NCT01326507,Prognostic Value of Heart-type Fatty Acid-Binding Protein (h-FABP) in Acute Pulmonary Embolism,exclusion,patient under guardianship
CRIT_117,NCT02562040,Pediatric Adenotonsillectomy Trial for Snoring,inclusion,"Primary indication for AT is nocturnal obstructive symptoms (i.e., not recurrent infections or other indications)."
CRIT_118,NCT02562040,Pediatric Adenotonsillectomy Trial for Snoring,inclusion,"Diagnosis of mild sleep-disordered breathing (MSDB) defined as meeting all of the following criteria: Caregiver report of habitual snoring that occurs most of the night on at least three nights per week, and has been present for at least three months (on average occurring > 3 nights per week or more half of sleep time)"
CRIT_119,NCT02562040,Pediatric Adenotonsillectomy Trial for Snoring,inclusion,"Centrally-scored polysomnogram (PSG) confirming an obstructive apnea index (OAI) <1/hour and apnea-hypopnea index (AHI) ≤3/hour and no oxygen saturation (SpO2) desaturation < 90% in conjunction with obstructive events, confirmed on PSG."
CRIT_120,NCT02562040,Pediatric Adenotonsillectomy Trial for Snoring,exclusion,"Previous tonsillectomy, including partial tonsillectomy"
